id,"lat","lon","name","city","address","prvnumgrp_tdi","fileyear"
"100005",27.8825147142,-81.8236428254,"POLK GENERAL HOSPITAL","BARTOW","2010 E GEORGIA ST","100005",1995
"100010",26.7532083577,-80.0628215375,"ST MARYS HOSPITAL INC","WEST PALM BEACH","901 45TH ST","100010",2001
"100027",29.9446744852,-85.4106641905,"GULF PINES HOSPITAL","PORT SAINT JOE","102 20TH ST","100027",2005
"100042",26.0096426321,-80.1441364652,"THC  HOLLYWOOD","HOLLYWOOD","1859 VAN BUREN ST","100042",1994
"100056",26.1633797015,-80.1010175643,"CLEVELAND CLINIC HOSPITAL","FORT LAUDERDALE","2835 N OCEAN BLVD","100056",2001
"100060",25.8225151254,-80.1312363411,"MT SINAI MED CTR & MIAMI HEART INSTITU","MIAMI BEACH","4701 MERIDAN AVE","211",2000
"100074",28.2424037689,-81.3030071527,"ST CLOUD HOSPITAL","SAINT CLOUD","2906 17TH ST","100074",1994
"100085",26.1394855276,-80.2389872656,"FLORIDA MEDICAL CENTER SOUTH","PLANTATION","6701 W SUNRISE BLVD","100085",1998
"100089",28.3175593014,-81.4053094519,"KISSIMMEE MEMORIAL HOSPITAL","KISSIMMEE","200 HILDA ST","100089",1993
"100100",25.7765561798,-80.2105880747,"VICTORIA HOSPITAL","MIAMI","955 NW 3RD ST","100100",1993
"100108",30.52209249,-82.9515616665,"TRINITY COMMUNITY HOSPITAL","JASPER","506 NW 4TH ST","100108",2008
"100129",28.5671948049,-81.4305688891,"PRINCETON HOSPITAL","ORLANDO","1800 MERCY DR","100129",1999
"100144",26.8221164912,-80.6612608887,"EVERGLADES MEMORIAL HOSPITAL","PAHOKEE","200 S BARFIELD HWY","100144",1998
"100145",27.844226384,-82.7286765319,"PINELLAS COMMUNITY HOSPITAL","PINELLAS PARK","7950 66 ST N","100145",1996
"100159",30.5880121307,-84.5721642639,"GADSDEN COMMUNITY HOSPITAL","QUINCY","US HWY 90 E","227",2001
"100165",25.7480084232,-80.3172188862,"WESTCHESTER GENERAL HOSPITAL","MIAMI","2500 SW 75 AVE","100165",1998
"100172",25.7760979001,-80.1408378709,"SOUTH BEACH COMMUNITY HOSPITAL","MIAMI BEACH","630 ALTON RD","100172",2006
"100174",27.9570846281,-82.7735721729,"CLEARWATER COMMUNITY HOSPITAL","CLEARWATER","1521 E DRUID RD E","100174",1999
"100186",27.7407964046,-82.640759186,"PHYSICIANS COMMUNITY HOSPITAL","SAINT PETERSBURG","3030 6TH ST S","100186",1995
"100199",26.2265157557,-80.1347047712,"COLUMBIA POMPANO BEACH MEDICAL CENTER","POMPANO BEACH","600 SW 3RD ST","100199",1997
"100203",27.8608516528,-82.7869425608,"SEMINOLE HOSP & WOMEN'S CENTER","SEMINOLE","9675 SEMINOLE BLVD","100203",1996
"100207",26.6284478212,-80.0857553043,"PALM BEACH REGIONAL HOSPITAL","LAKE WORTH","2829 10 AVE N","100207",1996
"100222",25.9316504049,-80.2086671325,"PARKWAY WEST REGIONAL MEDICAL CENTER","MIAMI","17300 NW 7TH AVE","100222",1998
"100229",29.2040738862,-81.057120605,"ATLANTIC MEDICAL CENTER","DAYTONA BEACH","400 N CLYDE MORRIS BLVD","100229",2000
"100235",27.8666902,-82.7887134,"UNIVERSITY GENERAL HOSPITAL","SEMINOLE","10200 SEMINOLE BLVD","100235",1997
"100237",26.1982514681,-80.1324963148,"NORTH RIDGE MEDICAL CENTER","FORT LAUDERDALE","5757 N DIXIE HWY","100237",2008
"100262",26.7243495831,-80.0497406464,"GOOD SAMARITAN HOSPITAL","WEST PALM BEACH","PALM BEACH LAKES & FLAGER DR","100262",2001
"100273",30.3958664006,-86.4736203,"HUMANA HOSPITAL DESTIN","DESTIN","996 AIRPORT RD","100273",1994
"102014",26.0096426321,-80.1441364652,"THC - HOLLYWOOD","HOLLYWOOD","1859 VAN BUREN ST","102014",1998
"110033",33.8261037475,-84.2501868712,"NORTHLAKE MEDICAL CENTER","TUCKER","1455 MONTREAL RD","110033",2006
"110037",30.9912481971,-83.3722567825,"SMITH HOSPITAL","HAHIRA","117 E MAIN ST","110037",1996
"110052",34.4916638362,-85.3385855696,"CHATTOOGA MEDICAL CENTER","SUMMERVILLE","1010 HIGHLAND AVE","110052",1996
"110072",32.0593431,-82.8809767,"TAYLOR TELFAIR REGIONAL HOSPITAL INC","MCRAE","HWY 341","245",1999
"110080",33.7406982918,-84.510321427,"SOUTHWEST HOSPITAL AND MEDICAL CENTER","ATLANTA","501 FAIRBURN RD SW","110080",2005
"110088",33.5883904715,-83.475590756,"MORGAN MEMORIAL HOSPITAL","MADISON","1077 S MAIN ST","110088",1996
"110136",33.046533,-83.2173762,"MEDICAL SURG CENTER OF CENTRAL STATE","MILLEDGEVILLE","VINSON HWY","110136",2004
"110140",34.8848033598,-83.4161882748,"RIDGECREST HOSPITAL","CLAYTON","393 RIDGECREST CIRCLE","110140",1999
"110155",32.0867302797,-83.7697590768,"DOOLY MEDICAL CENTER","VIENNA","1300 E UNION ST","240",2000
"110157",34.1013093286,-84.5185923491,"WOODSTOCK HOSPITAL","WOODSTOCK","103 ARNOLD MILL RD","110157",1994
"110166",32.835361128,-83.636822633,"MIDDLE GEORGIA HOSPITAL","MACON","888 PINE ST","110166",2002
"110171",33.8428054076,-84.4279295523,"WEST PACES FERRY HOSPITAL","ATLANTA","3200 HOWELL MILL RD NW","110171",1999
"110172",33.9258834384,-84.309190958,"EMORY DUNWOODY MEDICAL CENTER","ATLANTA","4575 N SHALLOWFORD RD","110172",2006
"110174",33.5357072905,-85.2621241623,"BOWDON AREA HOSPITAL","BOWDON","501 MITCHELL AVE","110174",1999
"110176",33.9012252504,-84.478920149,"PROMINA WINDY HILL HOSPITAL","MARIETTA","2540 WINDY HILL RD","110176",1998
"110178",33.7766809749,-84.292643272,"DECATUR HOSPITAL","DECATUR","450 CANDLER ST","110178",1997
"110179",33.7753606822,-84.6046743806,"EMORY PARKWAY MEDICAL CENTER","LITHIA SPRINGS","1000 THORNTON RD","110179",2002
"110208",33.2685307579,-82.9709355672,"HANCOCK MEMORIAL HOSPITAL","SPARTA","453 BOLAND ST","110208",2001
"113027",32.8918380881,-83.6799795851,"HEALTHSOUTH CENTRAL GA REHAB HOSPITAL","MACON","3351 NORTHSIDE DR","113027",2006
"114023",32.4817046887,-84.9685575238,"BRADLEY CENTER OF ST FRANCIS, THE","COLUMBUS","2000 16TH AVE","114023",2006
"130005",42.8733243616,-112.418732878,"POCATELLO REGIONAL MEDICAL CENTER","POCATELLO","777 HOSPITAL WAY","130005",2002
"130036",42.559707459,-114.464766244,"TWIN FALLS CLINIC & HOSPITAL","TWIN FALLS","666 SHOSHONE ST E","130036",2002
"130060",43.6982405,-114.3531062,"WOOD RIVER MEDICAL CENTER","SUN VALLEY",,"130060",2000
"130061",47.4929833,-115.9554396,"SILVER VALLEY MEDICAL CENTER","SILVERTON","400 W YELLOWSTONE","130061",1998
"140039",40.7423442685,-88.5098561102,"FAIRBURY HOSPITAL","FAIRBURY","519 S 5TH ST","140039",1994
"140070",38.8731034,-90.0959401,"WOOD RIVER TOWNSHIP HOSPITAL","WOOD RIVER","EDWARDSVILLE RD","140070",2000
"140075",41.8397557,-87.6131063,"MICHAEL REESE HOSPITAL & MED CENTER","CHICAGO","2929 S ELLIS","140075",2008
"140087",41.9854047177,-87.6698699606,"EDGEWATER MEDICAL CENTER","CHICAGO","5700 N ASHLAND AVE","140087",2001
"140090",41.928702594,-87.6392172475,"COLUMBUS HOSPITAL","CHICAGO","2520 N LAKEVIEW AVE","140090",2000
"140098",41.9398798288,-87.7285438181,"THC - CHICAGO","CHICAGO","4058 W MELROSE ST","140098",1994
"140105",42.0558364717,-87.888398372,"HOLY FAMILY MEDICAL CENTER","DES PLAINES","100 N RIVER RD","140105",2006
"140107",38.0834413479,-88.1654635626,"CORNERSTONE HEALTHCARE OF ILLINOIS INC","CARMI","400 PLUM ST","338",2001
"140128",42.2586814532,-88.8281982199,"SAINT JOSEPH HOSPITAL","BELVIDERE","1005 JULIEN ST","140128",1999
"140152",41.8753928881,-87.7118660865,"ADVOCATE BETHANY HOSPITAL","CHICAGO","3435 W VAN BUREN","140152",2006
"140192",41.9612830087,-87.692646569,"LINCOLN WEST HOSPITAL","CHICAGO","2544 W MONTROSE AVE","140192",1995
"140205",42.2431462792,-88.8391302492,"NORTHWEST SUBURBAN COMMUNITY HOSPITAL","BELVIDERE","1625 S STATE ST","140205",2005
"140207",41.9219007507,-87.6425846913,"LINCOLN PARK HOSPITAL","CHICAGO","550 W WEBSTER AVE","140207",2008
"140212",41.8717352043,-87.6580334827,"ST CABRINI HOSPITAL","CHICAGO","811 S LYTLE ST","140212",1996
"140215",37.9002156638,-88.931409986,"U M W OF A UNION HOSPITAL","WEST FRANKFORT","507 W ST LOUIS ST","140215",2001
"140229",42.0998915821,-90.1538308277,"SAVANNA CITY HOSPITAL","SAVANNA","1125 N 5TH ST","140229",1993
"140236",40.9325972835,-87.9317829533,"CENTRAL COMMUNITY HOSPITAL","CLIFTON","335 E 5TH AVE","140236",1997
"140253",41.7897709158,-87.5866220223,"DOCTORS HOSP HYDE PK","CHICAGO","5800 STONY ISLAND AVE","140253",2000
"140285",39.7258843,-89.6406536,"DOCTORS HOSPITAL","SPRINGFIELD","5230 S 6TH ST","140285",2003
"140297",41.7872983875,-87.9169000985,"RM HEALTH PROVIDERS LIMITED PARTNERSHP","HINSDALE","5601 S COUNTY LINE RD","140297",1997
"142007",41.6032274288,-87.7364991875,"OAK FOREST HOSPITAL","OAK FOREST","159TH & CICERO AVE","142007",2001
"150014",39.8144481497,-86.1567452654,"WINONA MEMORIAL HOSPITAL","INDIANAPOLIS","3232 N MERIDIAN ST","150014",2004
"150019",38.3142624076,-86.9558179991,"DEACONESS ST JOSEPH'S HOSPITAL","HUNTINGBURG","1900 MEDICAL ARTS DR","405",2004
"150063",40.7292474734,-85.171310833,"WELLS COMMUNITY HOSPITAL","BLUFFTON","1100 S MAIN ST","150063",2001
"150073",41.4422523575,-85.2534348074,"MCCRAY MEMORIAL HOSPITAL","KENDALLVILLE","951 E HOSPITAL DR","150073",2000
"150085",40.2082228593,-84.8093567001,"UNION CITY MEMORIAL HOSPITAL","UNION CITY","900 N COLUMBIA ST","150085",1993
"150099",41.6729379617,-86.2118230706,"ST MARY COMMUNITY HOSPITAL","SOUTH BEND","2515 E JEFFERSON BLVD","150099",1997
"150123",38.3386591,-87.3450132,"WIRTH REGIONAL HOSPITAL","OAKLAND CITY","HWY 64 W RR 3","150123",2003
"150138",41.6008695,-87.3492051,"NORTHWEST FAMILY HOSPITAL","GARY","501 FAMILY PLAZA","150138",1995
"152009",38.3358136072,-85.7946710941,"SOUTHERN INDIANA REHABILITATION HOSP","NEW ALBANY","3104 BLACKISTON BLVD","152009",2002
"152010",39.6151734,-86.0864457,"SELECT SPECIALTY HOSPITAL-INDIANAPOLIS","GREENWOOD","898 E MAIN ST","152010",2008
"152011",37.9624079173,-87.5048980876,"ST ELIZABETH ANN SETON HOSPITAL INC","EVANSVILLE","3700 WASHINGTON AVE","152011",2005
"152015",39.9839374517,-86.1448596667,"SETON SPECIALTY HOSPITAL, CARMEL","CARMEL","13500 N MERIDIAN, 2ND FLOOR","152015",2007
"152022",39.4183566022,-87.4105926907,"HEALTHSOUTH HOSPITAL OF TERRE HAUTE","TERRE HAUTE","501 EAST ST ANTHONY DR","152022",2007
"153027",40.4955544039,-86.1649436701,"HEALTHSOUTH REHABILITATION HOSP OF KOK","KOKOMO","829 N DIXON RD","153027",2004
"153029",39.4183566022,-87.4105926907,"HEALTHSOUTH REHABILITATION HOSPITAL","TERRE HAUTE","501 EAST ST ANTHONY DR","153029",2004
"160085",42.3606798793,-93.1152410908,"ELDORA REGIONAL MEDICAL CENTER","ELDORA","2413 EDGINGTON AVE","160085",2000
"160123",42.1894826565,-93.594245274,"STORY CITY MEMORIAL HOSPITAL","STORY CITY","812 ELM AVE","160123",1995
"160133",41.6102386932,-93.6826388754,"CHARTER COMMUNITY HOSPITAL","DES MOINES","1818 48TH ST","160133",1994
"170044",39.3943110529,-96.4158138023,"DECHAIRO HOSPITAL","WESTMORELAND","208 N 1ST ST","170044",1999
"170140",37.2572768167,-97.3976913033,"WELLINGTON HOSPITAL","WELLINGTON","924 S WASHINGTON AVE","170140",1994
"170144",38.0026830777,-97.5088968701,"HERTLER REGIONAL MEDICAL CENTER","HALSTEAD","328 POPLAR ST","170144",2002
"170147",37.6949005222,-97.3728063767,"VIA CHRISTI RIVERSIDE MEDICAL CENTER","WICHITA","2622 W CENTRAL AVE","170147",2005
"170148",39.1042798485,-94.6400876542,"BETHANY MEDICAL CENTER","KANSAS CITY","51 N 12TH ST","170148",2001
"170171",37.6974989886,-96.9737772764,"AUGUSTA MEDICAL COMPLEX INC","AUGUSTA","2101 DEARBORN","170171",2002
"170172",37.1037855,-96.4980562,"CEDAR VALE COMMUNITY HOSPITAL","CEDAR VALE","501 CEDAR ST","516",1995
"173030",38.942030347,-94.662588117,"HORIZON SPECIALTY HOSPITAL","OVERLAND PARK","6509 W 103RD ST","173030",1995
"180006",37.17268,-82.63206,"JENKINS COMMUNITY HOSPITAL","JENKINS","MAIN ST","625",2005
"180031",37.621518582,-84.5860199271,"GARRARD CO MEMORIAL HOSP","LANCASTER","308 W MAPLE AVE","601",2000
"180072",38.055111313,-84.7237541232,"WOODFORD MEMORIAL HOSP","VERSAILLES","360 AMSDEN AVE","180072",2000
"180081",38.2454292953,-85.7493191177,"METHODIST EVANGELICAL HOSP","LOUISVILLE","315 E BROADWAY","180081",1993
"180085",38.2420033073,-85.732165391,"VENCOR HOSPITAL LOUISVILLE","LOUISVILLE","1313 ST ANTHONY PL","180085",1995
"180136",37.9995203681,-84.4412748484,"HUMANA HOSP LEXINGTON","LEXINGTON","150 N EAGLE CREEK DR","180136",1997
"180137",38.2490873881,-85.7448828332,"UNIVERSITY OF LOUISVILLE HOSPITAL","LOUISVILLE","530 S JACKSON ST","180137",1996
"183031",38.2454292953,-85.7493191177,"GATEWAY REHAB HOSPITAL AT NORTON HEALTHCARE PAVILI","LOUISVILLE","315 E BROADWAY","183031",2008
"190033",30.2305796262,-92.8172732743,"WELSH GENERAL HOSPITAL","WELSH","410 SIMMONS ST","190033",1998
"190035",29.9561418893,-90.0850339257,"UNIVERSITY HOSPITAL","NEW ORLEANS","2021 PERDIDO ST","190035",1997
"190075",29.9719820051,-90.0926588332,"MERCY HOSPITAL","NEW ORLEANS","301 N JEFFERSON DAVIS PKWY","190075",1994
"190112",32.4246878212,-93.7196078178,"COLUMBIA HIGHLAND HOSPITAL","SHREVEPORT","1453 E BERT KOUNS INDUSTRIAL LOOP","190112",1999
"190113",32.5328023239,-93.7057102092,"BOSSIER MEDICAL CENTER","BOSSIER CITY","2105 AIRLINE DR","190113",1999
"190115",32.5026830887,-93.7450585841,"DOCTORS HOSPITAL OF SHREVEPORT","SHREVEPORT","1130 LOUISIANA AVE","190115",2008
"190124",30.031207312,-89.9719501813,"METHODIST HOSPITAL","NEW ORLEANS","5620 READ BLVD","190124",2005
"190127",32.4978013325,-93.7460385361,"PHYSICIANS AND SURGEONS HOSPITAL INC","SHREVEPORT","1530 LINE AVE","190127",1994
"190131",30.2610213164,-91.2458449305,"RIVER WEST MEDICAL CENTER","PLAQUEMINE","59355 RIVER WEST DR","190131",2008
"190155",29.95631,-91.03371,"ASSUMPTION GENERAL HOSPITAL","NAPOLEONVILLE",,"190155",1996
"190158",29.9270774235,-90.0947542124,"ST CHARLES SPECIALTY  HOSPITAL","NEW ORLEANS","3700 ST CHARLES AVE","190158",2005
"190162",29.9668673465,-90.0402745827,"ST CLAUDE MEDICAL CENTER","NEW ORLEANS","3419 ST CLAUDE AVE","190162",2003
"190165",32.5537627,-92.9132134,"BIENVILLE GENERAL HOSPITAL","ARCADIA","810 PINE ST","190165",1993
"190166",30.7519089522,-93.5461142282,"MERRYVILLE GENERAL HOSPITAL","MERRYVILLE","900 BRYAN ST","190166",1995
"190173",29.9342979352,-90.0084739345,"JO ELLEN SMITH MEMORIAL HOSPITAL","NEW ORLEANS","4444 GENERAL MEYER AVE","190173",1999
"190178",32.7010474093,-92.103925896,"STERLINGTON HOSPITAL INC","STERLINGTON","111 HWY 2","190178",1999
"190182",29.9957440032,-90.1823848516,"LAKESIDE HOSPITAL","METAIRIE","4700 I 10 SERVICE RD","190182",2005
"190185",29.9567974004,-89.9710366656,"CHALMETTE MEDICAL CENTER","CHALMETTE","9001 PATRICIA ST","190185",2005
"190191",30.4716324,-92.0795314,"DOCTORS HOSPITAL OF OPELOUSAS","OPELOUSAS","3983 I 49 S SERVICE RD","190191",2008
"190194",32.4020443281,-93.7984146163,"WILLIS KNIGHTON SOUTH HOSP","SHREVEPORT","2510 BERT KOUNS INDUSTRIAL LOOP","190194",1994
"190200",30.0442799151,-89.9597237171,"LAKELAND MEDICAL CENTER","NEW ORLEANS","6000 BULLARD AVE","190200",2004
"190203",30.0151012728,-90.1816600632,"DOCTORS HOSPITAL OF JEFFERSON","METAIRIE","4320 HOUMA BLVD","190203",2004
"190207",30.2107885995,-90.933145444,"RIVERVIEW MEDICAL CENTER","GONZALES","1125 HWY 30 W","190207",2000
"190231",30.3924252092,-91.0934807053,"BATON ROUGE GEN HOSP CTR","BATON ROUGE","8585 PICARDY AVE","190231",1998
"190253",29.9668673465,-90.0402745827,"BYWATER HOSPITAL","NEW ORLEANS","3419 ST CLAUDE AVE","190253",2005
"190260",29.9719820051,-90.0926588332,"LINDY BOGGS MEDICAL CENTER","NEW ORLEANS","301 N JEFFERSON DAVIS PKWY","190260",2005
"190272",30.1579023861,-91.9910267927,"SOUTHPARK COMMUNITY HOSPITAL","LAFAYETTE","314 YOUNGSVILLE HWY","190272",2008
"192005",29.9684090118,-90.0914393036,"PHYSICIANS HOSPITAL OF NEW ORLEANS","NEW ORLEANS","3125 CANAL ST","192005",2002
"192018",32.4709568092,-93.7725229478,"WINWARD HOSP","SHREVEPORT","2150 MIDWAY AVE","192018",1998
"192053",30.2236335771,-91.9916836637,"ST LUKE'S SPECIALTY HOSPITAL OF SUNSET, LLC","LAFAYETTE","2500 E SIMCOE ST","192053",2008
"193027",32.5140051,-92.6317013,"NORTH LOUISIANA REHAB HOSP","RUSTON","1401 EZELL","193027",1997
"193038",30.181963296,-92.0097907587,"REHABILITATION HOSPITAL OF LAFAYETTE","LAFAYETTE","204 ENERGY PARKWAY","193038",2002
"193047",29.9728024336,-92.1070007997,"VERMILION REHABILITATION HOSPITAL","ABBEVILLE","118 N HOSPITAL DR, 2ND FLOOR","193047",2006
"193059",30.0712524,-89.9478024,"PREFERRED REHABILITATION HOSPITAL","NEW ORLEANS","14500 HAYNES BLVD","193059",2002
"193061",29.9413848394,-90.2127170133,"ST JOHN'S SPECIALTY HOSPITAL","HARAHAN","405 FOLSE ST","193061",2007
"193063",30.4627686636,-90.4591866408,"HAMMOND REHABILITATION HOSPITAL LLC","HAMMOND","15719 BELLE DR","193063",2002
"193083",32.4709558858,-93.7723832946,"ST LUKE'S REHABILITATION HOSPITAL OF SHREVEPORT","SHREVEPORT","2140 MIDWAY","193083",2006
"210010",38.5709102262,-76.0687246953,"DORCHESTER GENL HOSP","CAMBRIDGE","300 BYRN ST","210010",2003
"210026",39.2927092528,-76.5940171735,"CHURCH HOSPITAL CORPORATION","BALTIMORE","100 N BROADWAY","210026",1999
"210031",39.3339066342,-76.6558995286,"CHILDRENS HOSPITAL INC","BALTIMORE","3825 GREENSPRING AVE","210031",1999
"210036",38.9632869701,-76.9416154069,"EUGENE LELAND MEM HOSP","RIVERDALE","4408 QUEENSBURY RD","210036",1993
"210046",39.6606429525,-78.9280501807,"FROSTBURG HOSPITAL INC","FROSTBURG","48 TARN TERRACE","210046",1995
"210059",39.3193585422,-76.6553847071,"LIBERTY MED CENTER","BALTIMORE","2600 LIBERTY HEIGHTS AVE","210059",1999
"213027",39.0771127496,-76.9680896808,"EASTERN NEURO REHABILITATION HOSPITAL","SILVER SPRING","2105 FAIRLAND RD","213027",2001
"220025",42.0320265324,-71.8539079674,"HUBBARD REGIONAL HOSPITAL","WEBSTER","340 THOMPSON RD","220025",2008
"220045",42.6500911,-71.3242277,"ST JOSEPHS HOSPITAL","LOWELL","220 PAUTUCKET ST","220045",1993
"220053",42.4234292,-71.1617208,"MEDICAL CENTER AT SYMMES,THE","ARLINGTON","HOSPITAL RD","220053",1999
"220064",42.4573621779,-71.0888233822,"BOSTON REGIONAL MEDICAL CENTER, INC","STONEHAM","5 WOODLAND RD","220064",1999
"220076",42.3695407,-71.2489449,"DEACONESS-WALTHAM HOSPITAL","WALTHAM","HOPE AVE","220076",2003
"220097",42.3790704179,-70.9903978092,"WINTHROP COMMUNITY HOSPITAL","WINTHROP","40 LINCOLN ST","220097",1994
"220099",42.1574347665,-72.4815037307,"LUDLOW HOSPITAL","LUDLOW","14 CHESTNUT PL","220099",1994
"220114",42.5291289322,-70.9366134031,"THC BOSTON","PEABODY","15 KING ST","220114",1994
"220131",42.8492014403,-70.9319300514,"AMESBURY HOSPITAL","AMESBURY","24 MORRILL PL","220131",1993
"220153",42.1989485,-72.6404388,"SOLDIERS HOME OF HOLYOKE","HOLYOKE","CHERRY ST","220153",2005
"220154",42.400847034,-71.0281735446,"SOLDIERS HOME IN MASSACHUSETTS","CHELSEA","91 CREST AVE","220154",2005
"222024",42.4074924176,-71.2231899436,"OLYMPUS SPECIALTY HOSPITAL","WALTHAM","775 TRAPELO RD","222024",2001
"222029",42.1719775002,-71.0101335361,"MASSACHUSETTS RESPIRATORY HOSPITAL","BRAINTREE","2001 WASHINGTON ST","222029",1999
"222035",42.367396908,-71.0651276092,"SPAULDING REHABILITATION HOSPITAL","BOSTON","125 NASHUA ST","222035",2006
"222042",42.2582145265,-71.8135725153,"WORCESTER COUNTY HOSPITAL","WORCESTER","26 QUEEN ST 4TH FLOOR","222042",1997
"223028",42.7776860989,-71.07384352,"WHITTIER REHABILITATION HOSPITAL","HAVERHILL","76 SUMMER ST","223028",2005
"223033",42.2760641757,-71.5758280526,"WHITTIER REHABILTATION HOSPITAL","WESTBOROUGH","150 FLANDERS RD","223033",2005
"230007",42.2632157126,-83.1677607825,"OAKWOOD DOWNRIVER MEDICAL CENTER","LINCOLN PARK","25750 W OUTER DR","230007",1996
"230063",42.4434344406,-82.9721847426,"SARATOGA COMMUNITY HOSPITAL","DETROIT","15000 GRATIOT AVE","230063",1999
"230065",42.4413009046,-83.0190013863,"ST JOHN NORTHEAST COMM HOSPITAL","DETROIT","4777 E OUTER DR","230065",2003
"230087",42.2430704786,-84.7653999121,"TRILLIUM HOSPITAL","ALBION","809 W ERIE ST","230087",2002
"230107",45.1272575934,-85.6198097357,"LEELANAU MEMORIAL HEALTH CENTER","NORTHPORT","215 S HIGH ST","734",1999
"230119",42.3497673486,-82.9973966812,"ST JOHN DETROIT RIVERVIEW HOSPITAL","DETROIT","7733 E JEFFERSON","230119",2007
"230125",41.9551265986,-86.3115087811,"BERRIEN GENERAL HOSPITAL","BERRIEN CENTER","6418 DEANS HILL RD","230125",1996
